"date"	"temp"
1923	6.01
1924	5.14
1925	6.95
1926	6.16
1927	5.63
1928	5.06
1929	3.78
1930	6.91
1931	4.78
1932	6.25
1933	5.28
1934	7.14
1935	5.68
1936	6.71
1937	7.04
1938	6.93
1939	6.39
1940	3.62
1941	3.36
1942	3.33
1943	6.49
1944	6.59
1945	5.78
1946	5.83
1947	4.88
1948	6.86
1949	7.28
1950	6.39
1951	6.15
1952	5.45
1953	6.13
1954	5.22
1955	5.79
1956	4.06
1957	6.93
1958	5.62
1959	7.05
1960	5.58
1961	7.49
1962	5.43
1963	5.31
1964	5.26
1965	5.03
1966	6.23
1967	6.88
1968	5.65
1969	4.95
1970	4.72
1971	6.46
1972	6.81
1973	6.87
1974	6.6
1975	7.87
1976	5
1977	5.9
1978	5.71
1979	4.7
1980	4.88
1981	6.42
1982	6.13
1983	7.59
1984	6.48
1985	4.69
1986	5.77
1987	4.18
1988	6.52
1989	7.91
1990	7.81
1991	7.28
1992	7.38
1993	6.57
1994	7.51
1995	7.38
1996	7.32
1997	7.2
1998	7.16
1999	8.04
2000	7.99
2001	7.6
2002	7.99
2003	6.07
2004	6.76
2005	7.18
2006	7.09
2007	8.31
2008	8.52
2009	7.43
2010	6.95
2011	6.95
2012	7.55
2013	7.25
2014	8.42
2015	8.36
2016	7.84
