"date"	"temp"
1953	15
1954	15.31
1955	16.02
1956	14.09
1957	14.64
1958	14.93
1959	15.28
1960	15.13
1961	15.96
1962	15.63
1963	14.91
1964	15.69
1965	15.24
1966	15.45
1967	15.03
1968	15.13
1969	14.68
1970	15.37
1971	14.01
1972	14.42
1973	14.68
1974	14.55
1975	14.75
1976	14.58
1977	14.85
1978	15.16
1979	15.49
1980	15.15
1981	15.24
1982	15.68
1983	15.59
1984	14
1985	15.26
1986	14.83
1987	15.43
1988	15.23
1989	15.91
1990	16.4
1991	15.06
1992	14.99
1993	14.6
1994	15.89
1995	16.27
1996	15.39
1997	16.44
1998	15.94
1999	15.23
2000	15.45
2001	15.82
2002	15.39
2003	16.44
2004	15.46
2005	15.53
2006	16.2
2007	14.96
2008	15.04
2009	16.09
2010	15.44
2011	16.39
2012	15.69
2013	15.07
2014	15.9
2015	16.01
