Country	Overall	Work	Money	Knowledge	Time	Power	Health
EU28	62	70	73.9	60.8	66.7	38.9	85.9
BE	66	71	81.3	68.1	74.3	39.8	86.3
BG	56	67.3	54.3	52.5	50.9	48.4	72.6
CZ	53.6	65.3	70.2	52.2	51.2	29.6	84.6
DK	74.6	78.9	82.7	73.7	82.7	54.7	91.1
DE	60	68.1	83.3	55.3	66.6	34	86.6
EE	52.2	71	58.4	49.5	74.6	22.5	81
IE	61.9	71.1	79.5	60.8	74.2	32.1	90.4
EL	46.8	62.5	71.9	47.2	46.2	18.2	84.6
ES	62.2	68.1	73.6	59.3	58	45.9	88.1
FR	65.2	70.5	81.6	62.3	69.1	43.6	86.9
HR	50.3	67.5	68.6	43.6	48.3	27.4	81.4
IT	49.2	60.8	76.2	54.1	60.1	16.1	85.8
CY	45.9	66.3	72.6	43.4	47.7	16.4	85.8
LV	53.4	71.7	56.3	46.6	59.1	34.8	73.8
LT	55.8	71.9	57	55.1	53.5	37.3	77.6
LU	64.4	68.1	93.1	62	73.2	36.2	89.2
HU	49.5	65.4	66.5	56.9	61.1	16.3	82.4
MT	56	60.8	70.3	62.4	60.8	27.8	90.7
NL	67.8	74.8	82.2	63.9	86.4	40.3	89.7
AT	59.5	73.7	82.5	58.9	60.2	29.5	91.4
PL	52.4	65.2	61.4	56.7	54.6	26.3	80.6
PT	49.9	70.6	68.8	48.6	47.3	22.2	83.8
RO	49.9	68.6	53.2	47.9	48.9	30.7	69.5
SI	60.8	71.2	77.7	52.1	73.4	36.5	86.3
SK	52.5	65.3	61.5	54.5	55.3	26.9	83.5
FI	72	74.2	80.1	56.6	81.6	68.4	89.2
SE	78.8	78.7	84.1	68.1	89.6	74.1	91.7
UK	71.2	74.2	79.7	75.8	69.4	51.4	93.1
