YEAR    JAN    FEB    MAR    APR    MAY    JUN    JUL    AUG    SEP    OCT    NOV    DEC   D-J-F   M-A-M   J-J-A   S-O-N  metANN
1952  999.9  999.9  999.9  999.9  999.9  999.9  999.9  999.9  999.9   15.9   10.5    6.6   999.9   999.9   999.9    16.0  999.90
1953    4.7    6.2   10.1   13.1   19.4   20.3   25.9   26.8   21.3   14.7   10.9    9.5     5.8    14.2    24.3    15.6   15.00
1954    4.2    6.7    9.8   12.7   17.6   21.9   25.9   23.7   22.1   17.1   12.5    7.6     6.8    13.4    23.8    17.2   15.31
1955    9.5    7.5    9.3   16.0   20.1   22.3   26.4   26.2   21.7   15.7    9.9    8.6     8.2    15.1    25.0    15.8   16.02
1956    6.7    2.7   10.5   12.2   16.8   21.0   23.5   23.7   20.3   15.3    7.8    4.6     6.0    13.2    22.7    14.5   14.09
1957    3.7    8.8   12.8   12.2   16.1   19.9   25.6   26.1   22.0   14.9    9.0    4.2     5.7    13.7    23.9    15.3   14.64
1958    6.1    9.6    9.9   12.0   18.5   20.1   25.0   24.8   23.3   15.7    9.9    8.4     6.6    13.5    23.3    16.3   14.93
1959    7.6    7.9   11.0   13.2   16.4   22.1   27.0   24.4   20.0   15.3   10.0    7.5     8.0    13.5    24.5    15.1   15.28
1960    6.3    7.9   11.0   14.2   17.8   23.6   25.4   23.7   21.0   13.2    9.9    5.7     7.2    14.3    24.2    14.7   15.13
1961    5.4   10.8   13.4   14.9   19.0   22.4   25.7   25.8   22.9   15.2   10.3    8.0     7.3    15.8    24.6    16.1   15.96
1962    7.7    8.1    9.7   13.2   17.3   22.0   25.7   26.9   23.0   17.4    8.5    6.1     7.9    13.4    24.9    16.3   15.63
1963    7.4    5.7   11.1   13.2   17.6   21.1   25.2   23.6   19.8   16.5   11.6    6.5     6.4    14.0    23.3    16.0   14.91
1964    6.2    9.0   10.3   13.2   21.1   22.4   26.2   25.1   24.1   14.5    9.7    6.5     7.2    14.9    24.6    16.1   15.69
1965    6.3    6.0   11.3   13.6   19.6   25.4   24.4   25.2   18.3   16.4    9.9    7.9     6.3    14.8    25.0    14.9   15.24
1966    9.7   10.1    9.8   13.4   18.0   21.1   25.1   25.0   22.7   14.7    7.9    6.3     9.2    13.7    23.7    15.1   15.45
1967    5.8    8.1   12.5   12.3   15.2   20.0   26.6   24.6   20.4   17.4   11.1    4.9     6.7    13.3    23.7    16.3   15.03
1968    6.3    8.5   10.2   13.2   16.3   22.7   25.6   24.6   20.8   18.3   10.1    8.0     6.6    13.2    24.3    16.4   15.13
1969    7.8    6.2   10.1   13.1   16.1   19.9   26.3   25.0   18.2   16.4    9.0    6.0     7.3    13.1    23.7    14.5   14.68
1970    8.5    7.5    8.4   13.2   17.3   22.0   26.3   24.7   23.1   14.8   12.6    3.8     7.3    13.0    24.3    16.8   15.37
1971    5.7    8.5    7.8   13.0   14.8   18.9   24.9   23.8   21.4   17.2    8.3    8.0     6.0    11.9    22.5    15.6   14.01
1972    5.5    8.2   10.2   12.5   15.9   20.9   25.0   23.5   18.2   14.1   11.0    6.8     7.2    12.9    23.1    14.4   14.42
1973    6.1    7.1    9.0   12.7   16.8   20.9   24.7   26.2   21.0   14.7   10.2    6.0     6.7    12.8    23.9    15.3   14.68
1974    8.0    7.5   10.0   11.4   17.3   20.1   25.7   24.8   20.7   12.9   10.2    6.8     7.2    12.9    23.5    14.6   14.55
1975    7.8    9.0    8.8   12.6   14.6   20.6   26.2   25.1   19.1   16.4   10.0    6.0     7.9    12.0    24.0    15.2   14.75
1976    6.3    8.5   10.6   11.6   18.7   23.2   25.3   24.2   19.1   13.5    7.9    8.8     6.9    13.6    24.2    13.5   14.58
1977    7.3    9.8   11.0   14.0   15.0   19.0   22.2   22.5   21.9   16.0  999.9    9.8     8.6    13.3    21.2    16.2   14.85
1978    6.3    9.4   10.8   12.1   14.9   18.9   25.9   25.3   22.7   15.7   10.1    9.2     8.5    12.6    23.4    16.2   15.16
